asset_id,additional_info,customer_id,asset_profile_id,name,label,tenant_id,type,external_id,version,processing_day,created_at,_dbt_loaded_at
6ef9b1c0-6737-848b-96dc-79be572422b5,"{""synthetic"":true,""area"":""BUILDING_001""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,d87afda2-85dd-dc3f-ef93-f3f9b9121368,BUILDING_001,Building 1,66f096d8-521b-4090-8052-c188b08821d5,building,deee9b29-c23c-070d-9865-c3cbf15e94b0,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
07b2c7d6-724c-8bf1-d878-fdf00fe5414c,"{""synthetic"":true,""area"":""FLOOR_002""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,89feea86-2a4b-29a3-d613-e56f7f83de8b,FLOOR_002,Floor 2,66f096d8-521b-4090-8052-c188b08821d5,floor,bd52e674-7c20-4306-7c53-d07caf19e8ff,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
e38b1ff2-2212-dc8f-1724-4c7c6abe87de,"{""synthetic"":true,""area"":""ZONE_003""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,f0b199da-1005-9b3e-e05f-c75eb9d0b6bc,ZONE_003,Zone 3,66f096d8-521b-4090-8052-c188b08821d5,zone,fbc539a9-ec9e-8fed-b1f1-c353fed94ebb,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
0c797958-6e36-5e12-2660-b5abe71a232d,"{""synthetic"":true,""area"":""PARKING_004""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,73b89ebc-f53b-09bd-f0a3-778e8fbfa995,PARKING_004,Parking 4,66f096d8-521b-4090-8052-c188b08821d5,parking,9776123f-f725-c121-cbbf-3128e4845c6c,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
86dfc06f-ff7f-ef68-a31d-d36a7f57f97e,"{""synthetic"":true,""area"":""EQUIPMENT_005""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,e05cedb4-52d1-ddc7-3a98-f4a7dc4e71ad,EQUIPMENT_005,Equipment 5,66f096d8-521b-4090-8052-c188b08821d5,equipment,e7cf8c65-d43e-cc0a-85ef-e0aec9e0821c,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
ed9fad0a-fa71-1807-0978-3c201094af7a,"{""synthetic"":true,""area"":""BUILDING_006""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,d87afda2-85dd-dc3f-ef93-f3f9b9121368,BUILDING_006,Building 6,66f096d8-521b-4090-8052-c188b08821d5,building,9fef2224-c6be-f75c-63e9-0f5401336ad9,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
b3a9b359-cea7-4370-a911-3413e322e894,"{""synthetic"":true,""area"":""FLOOR_007""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,89feea86-2a4b-29a3-d613-e56f7f83de8b,FLOOR_007,Floor 7,66f096d8-521b-4090-8052-c188b08821d5,floor,7467d32b-778c-b2b1-defa-50f450896bb3,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
e527ab7a-b3c5-a5f7-57b2-9ffed47f5b4e,"{""synthetic"":true,""area"":""ZONE_008""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,f0b199da-1005-9b3e-e05f-c75eb9d0b6bc,ZONE_008,Zone 8,66f096d8-521b-4090-8052-c188b08821d5,zone,4b62bb23-e6ef-9e79-418a-d19b91cc4666,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
a28c4655-daf8-8902-0ef5-984b8ae5a559,"{""synthetic"":true,""area"":""PARKING_009""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,73b89ebc-f53b-09bd-f0a3-778e8fbfa995,PARKING_009,Parking 9,66f096d8-521b-4090-8052-c188b08821d5,parking,c94905a8-febb-b5a1-1b5a-a0f1f62629f1,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
4ce800ac-2e52-7f7a-64b7-64311a8844b1,"{""synthetic"":true,""area"":""EQUIPMENT_010""}",56a0d760-490d-11f1-a19f-b52b73e46bf7,e05cedb4-52d1-ddc7-3a98-f4a7dc4e71ad,EQUIPMENT_010,Equipment 10,66f096d8-521b-4090-8052-c188b08821d5,equipment,91e93c72-3801-c3ce-4d23-c070d876debb,1,2026-06-01,2026-06-01 00:00:00,2026-06-09 00:55:47
