from_id,from_type,to_id,to_type,relation_type_group,relation_type,additional_info,version,processing_day
e9d88958-6eef-47a7-8e1c-5b137d227a56,DEVICE,6ef9b1c0-6737-848b-96dc-79be572422b5,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
ff50dade-61c0-4e64-9933-553d5f26e267,DEVICE,07b2c7d6-724c-8bf1-d878-fdf00fe5414c,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
5205ba5e-7486-4826-a7cc-909414dbb359,DEVICE,e38b1ff2-2212-dc8f-1724-4c7c6abe87de,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
95bec8df-84ea-43b6-842c-85928390218c,DEVICE,0c797958-6e36-5e12-2660-b5abe71a232d,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
dca05662-6763-4def-8e57-ac7700f0d75d,DEVICE,86dfc06f-ff7f-ef68-a31d-d36a7f57f97e,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
a48e347c-c383-4634-aa89-e262982b760d,DEVICE,ed9fad0a-fa71-1807-0978-3c201094af7a,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
cb7ddc93-592e-448b-835b-e33519ef84ec,DEVICE,b3a9b359-cea7-4370-a911-3413e322e894,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
20a28175-76fb-432b-a257-bdd05cdc656b,DEVICE,e527ab7a-b3c5-a5f7-57b2-9ffed47f5b4e,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
1a76bfdd-512c-4105-b199-af0e41a5d234,DEVICE,a28c4655-daf8-8902-0ef5-984b8ae5a559,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
2d16bd97-afcf-4f52-800a-985aed256844,DEVICE,4ce800ac-2e52-7f7a-64b7-64311a8844b1,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
7fbb8874-7250-4d55-a7bb-d4d19cf0ae76,DEVICE,62e45981-fee0-e979-63da-a2a4b96d598f,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
cc47361b-0981-4bc9-b0d6-de660d24d5e9,DEVICE,c919f988-68b9-30df-19b6-a8ecd44d9604,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
e863b6ea-b3fa-4cdd-ae1b-2ebf095a3403,DEVICE,68341f67-0544-9e63-8948-49d4d108ddc4,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
aa97b1b7-f224-4636-befc-bb68e1a638d4,DEVICE,e77e9337-3a04-45a6-6b61-4fb8ce8c01f1,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
aae23976-2fbc-4660-ac6f-61b1e5c86980,DEVICE,1247d53d-becb-6428-74ad-358e7dd768b9,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
fa6d4be6-c812-49bc-8247-544da882177c,DEVICE,b58bebb1-3600-0091-66f0-e9116da46838,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
d2b1bc97-e37f-4253-80e9-742a7dc73e26,DEVICE,60238843-12ff-be99-460b-beb5af7f448e,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
298dc98b-9e3f-4db5-bd68-90187fdf19a0,DEVICE,7fc4235e-1bb0-e0f1-0dfd-570d58688e2d,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
ad43e88d-0c23-4ede-a5f2-489ef5491e4f,DEVICE,fad7a2ee-5fe6-d05f-5ff0-1945e5c304cf,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
febd9686-f065-4a22-8361-2100acbcd11f,DEVICE,7d5ca9b2-b683-5607-411e-52c475613e5d,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
0f7f4a6a-07d7-4c58-861e-28763664909c,DEVICE,c2bbf522-fa77-ea9c-4692-3731219a661a,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
89000ea3-65f4-40cb-9382-1606353f1195,DEVICE,8580f245-5e60-093c-cc11-323c09068a7b,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
106c5edf-5f40-4b47-ac23-f78b02ae7480,DEVICE,5bf3fd49-3d48-fb8a-0c70-f6e741e787c3,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
28bc4670-b98b-4b35-a418-38e2fa9acf13,DEVICE,5cd9c461-c09c-fd66-d81c-7e7c0e3c60a3,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
d822fccd-6258-47ba-b4d0-4c46e9aaf37f,DEVICE,0f8b0e91-0b69-d2a0-c292-a1a1c48b6458,ASSET,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-01
